key,en

### Groups translations
q.groups.one.abbr,Def
q.groups.one.text,Default Group

### Fields translations
q.attrs.form_id,Form ID,
q.attrs.user,User
q.attrs.created_at,Created at
q.attrs.updated_at,Updated at
q.attrs.finalized_at,Finalized at
q.attrs.version,Version
q.attrs.name,Name
q.attrs.self,Self-Confidence
q.attrs.mood ,"What is your mood, kind sir?"
q.attrs.meaning,"The answer to life, universe and everything is:"
q.attrs.long,Long text
q.attrs.number,Number


### Options translations
